,Ano,Mes,Tmax_conv,Mes_deslocado
504,2003,01,0.7973793548387098,0
505,2003,02,0.8575742857142858,1
506,2003,03,0.8538206451612904,2
507,2003,04,0.7830733333333335,3
508,2003,05,0.620451612903226,4
509,2003,06,0.677916,5
510,2003,07,0.6165174193548388,6
511,2003,08,0.6074722580645161,7
512,2003,09,0.7355706666666668,8
513,2003,10,0.7860116129032257,9
514,2003,11,0.8204093333333335,10
515,2003,12,0.835789677419355,11
516,2004,01,0.8404916129032258,0
517,2004,02,0.8521048275862069,1
518,2004,03,0.8512761290322579,2
519,2004,04,0.7690160000000001,3
520,2004,05,0.4697948387096773,4
521,2004,06,0.5209573333333332,5
522,2004,07,0.49851612903225817,6
523,2004,08,0.7158025806451613,7
524,2004,09,0.855356,8
525,2004,10,0.7303948387096775,9
526,2004,11,0.7746506666666668,10
527,2004,12,0.7922941935483874,11
528,2005,01,0.7645625806451615,0
529,2005,02,0.8757457142857141,1
530,2005,03,0.8836851612903227,2
531,2005,04,0.8155293333333336,3
532,2005,05,0.70444,4
533,2005,06,0.6198066666666665,5
534,2005,07,0.5481045161290322,6
535,2005,08,0.7269883870967742,7
536,2005,09,0.620724,8
537,2005,10,0.7642709677419353,9
538,2005,11,0.8311466666666665,10
539,2005,12,0.8025987096774194,11
540,2006,01,0.8683612903225808,0
541,2006,02,0.8146557142857145,1
542,2006,03,0.8525909677419354,2
543,2006,04,0.7534786666666669,3
544,2006,05,0.6027470967741937,4
545,2006,06,0.6123786666666666,5
546,2006,07,0.672978064516129,6
547,2006,08,0.7415445161290324,7
548,2006,09,0.6591106666666666,8
549,2006,10,0.8137625806451612,9
550,2006,11,0.8402813333333332,10
551,2006,12,0.8304167741935484,11
552,2007,01,0.7829729032258064,0
553,2007,02,0.8311871428571429,1
554,2007,03,0.8810206451612903,2
555,2007,04,0.8020906666666665,3
556,2007,05,0.6025883870967742,4
557,2007,06,0.664008,5
558,2007,07,0.5592193548387099,6
559,2007,08,0.6984232258064516,7
560,2007,09,0.8548733333333334,8
561,2007,10,0.8608,9
562,2007,11,0.8126359999999999,10
563,2007,12,0.8379845161290322,11
564,2008,01,0.7408103225806453,0
565,2008,02,0.7950110344827588,1
566,2008,03,0.7994374193548388,2
567,2008,04,0.718852,3
568,2008,05,0.5887922580645162,4
569,2008,06,0.5240306666666668,5
570,2008,07,0.6357690322580645,6
571,2008,08,0.6655277419354839,7
572,2008,09,0.6946066666666667,8
573,2008,10,0.7876064516129035,9
574,2008,11,0.802832,10
575,2008,12,0.874011612903226,11
576,2009,01,0.7505845161290323,0
577,2009,02,0.8248228571428571,1
578,2009,03,0.8565264516129032,2
579,2009,04,0.8117546666666666,3
580,2009,05,0.6511625806451612,4
581,2009,06,0.48581866666666673,5
582,2009,07,0.5049909677419356,6
583,2009,08,0.6133303225806452,7
584,2009,09,0.6989826666666665,8
585,2009,10,0.7470696774193548,9
586,2009,11,0.8580133333333333,10
587,2009,12,0.8014748387096775,11
588,2010,01,0.7834748387096773,0
589,2010,02,0.8341700000000001,1
590,2010,03,0.8301974193548387,2
591,2010,04,0.7326786666666667,3
592,2010,05,0.564872258064516,4
593,2010,06,0.583388,5
594,2010,07,0.6291406451612904,6
595,2010,08,0.6942916129032259,7
596,2010,09,0.7607946666666667,8
597,2010,10,0.7263470967741936,9
598,2010,11,0.8018773333333333,10
599,2010,12,0.7668693333333334,11
600,2011,01,0.8364077419354836,0
601,2011,02,0.8327328571428572,1
602,2011,03,0.7461122580645161,2
603,2011,04,0.7290760000000001,3
604,2011,05,0.6092967741935484,4
605,2011,06,0.5226106666666666,5
606,2011,07,0.5991664516129034,6
607,2011,08,0.6619703225806453,7
608,2011,09,0.7774413333333332,8
609,2011,10,0.7531974193548387,9
610,2011,11,0.7818800000000001,10
611,2011,12,0.857465806451613,11
612,2012,01,0.77352,0
613,2012,02,0.9053544827586206,1
614,2012,03,0.8580645161290323,2
615,2012,04,0.7433573333333332,3
616,2012,05,0.5849380645161291,4
617,2012,06,0.5121573333333335,5
618,2012,07,0.5729845161290322,6
619,2012,08,0.7369083870967743,7
620,2012,09,0.8261239999999999,8
621,2012,10,0.8778412903225807,9
622,2012,11,0.8260413333333332,10
623,2012,12,0.8871587096774196,11
624,2013,01,0.7959161290322581,0
625,2013,02,0.8065971428571428,1
626,2013,03,0.7638877419354839,2
627,2013,04,0.70174,3
628,2013,05,0.6253432258064515,4
629,2013,06,0.5151173333333332,5
630,2013,07,0.5525212903225807,6
631,2013,08,0.6789122580645162,7
632,2013,09,0.7384093333333333,8
633,2013,10,0.7512993548387097,9
634,2013,11,0.8144733333333334,10
635,2013,12,0.86928,11
636,2014,01,0.8726361290322582,0
637,2014,02,0.9091528571428571,1
638,2014,03,0.8038232258064515,2
639,2014,04,0.7305546666666667,3
640,2014,05,0.5969612903225807,4
641,2014,06,0.558844,5
642,2014,07,0.5637806451612903,6
643,2014,08,0.72452,7
644,2014,09,0.7365760000000001,8
645,2014,10,0.8795999999999999,9
646,2014,11,0.8327426666666666,10
647,2014,12,0.8202993548387096,11
648,2015,01,0.9004193548387098,0
649,2015,02,0.809067142857143,1
650,2015,03,0.8027664516129032,2
651,2015,04,0.7637093333333334,3
652,2015,05,0.594683870967742,4
653,2015,06,0.6044626666666666,5
654,2015,07,0.540101935483871,6
655,2015,08,0.7473445161290324,7
656,2015,09,0.7747813333333333,8
657,2015,10,0.824011612903226,9
658,2015,11,0.751808,10
659,2015,12,0.778723870967742,11
660,2016,01,0.8387638709677421,0
661,2016,02,0.831,1
662,2016,03,0.835563870967742,2
663,2016,04,0.8574440000000001,3
664,2016,05,0.5197909677419355,4
665,2016,06,0.49655199999999994,5
666,2016,07,0.6345393548387098,6
667,2016,08,0.6664993548387097,7
668,2016,09,0.7075693333333333,8
669,2016,10,0.7724709677419355,9
670,2016,11,0.8297559999999999,10
671,2016,12,0.8149599999999999,11
672,2017,01,0.8197419354838709,0
673,2017,02,0.8956571428571427,1
674,2017,03,0.8234387096774194,2
675,2017,04,0.707652,3
